,location,day,Person1,Person2,num_occurrences
0,Abila Zacharo,2014-01-06,Elsa Orilla,Isia Vann,1
1,Abila Zacharo,2014-01-06,Elsa Orilla,Lidelse Dedos,1
2,Abila Zacharo,2014-01-06,Isia Vann,Elsa Orilla,1
3,Abila Zacharo,2014-01-06,Isia Vann,Lidelse Dedos,1
4,Abila Zacharo,2014-01-06,Lidelse Dedos,Elsa Orilla,1
5,Abila Zacharo,2014-01-06,Lidelse Dedos,Isia Vann,1
6,Abila Zacharo,2014-01-07,Ada Campo-Corrente,Ingrid Barranco,1
7,Abila Zacharo,2014-01-07,Ada Campo-Corrente,Isia Vann,1
8,Abila Zacharo,2014-01-07,Ada Campo-Corrente,Loreto Bodrogi,1
9,Abila Zacharo,2014-01-07,Ingrid Barranco,Ada Campo-Corrente,1
10,Abila Zacharo,2014-01-07,Ingrid Barranco,Isia Vann,1
11,Abila Zacharo,2014-01-07,Ingrid Barranco,Loreto Bodrogi,1
12,Abila Zacharo,2014-01-07,Isia Vann,Ada Campo-Corrente,1
13,Abila Zacharo,2014-01-07,Isia Vann,Ingrid Barranco,1
14,Abila Zacharo,2014-01-07,Isia Vann,Loreto Bodrogi,1
15,Abila Zacharo,2014-01-07,Loreto Bodrogi,Ada Campo-Corrente,1
16,Abila Zacharo,2014-01-07,Loreto Bodrogi,Ingrid Barranco,1
17,Abila Zacharo,2014-01-07,Loreto Bodrogi,Isia Vann,1
18,Abila Zacharo,2014-01-08,Ingrid Barranco,Kanon Herrero,1
19,Abila Zacharo,2014-01-08,Ingrid Barranco,Kare Orilla,1
20,Abila Zacharo,2014-01-08,Ingrid Barranco,Marin Onda,1
21,Abila Zacharo,2014-01-08,Ingrid Barranco,Vira Frente,1
22,Abila Zacharo,2014-01-08,Kanon Herrero,Ingrid Barranco,1
23,Abila Zacharo,2014-01-08,Kanon Herrero,Kare Orilla,1
24,Abila Zacharo,2014-01-08,Kanon Herrero,Marin Onda,1
25,Abila Zacharo,2014-01-08,Kanon Herrero,Vira Frente,1
26,Abila Zacharo,2014-01-08,Kare Orilla,Ingrid Barranco,1
27,Abila Zacharo,2014-01-08,Kare Orilla,Kanon Herrero,1
28,Abila Zacharo,2014-01-08,Kare Orilla,Marin Onda,1
29,Abila Zacharo,2014-01-08,Kare Orilla,Vira Frente,1
30,Abila Zacharo,2014-01-08,Marin Onda,Ingrid Barranco,1
31,Abila Zacharo,2014-01-08,Marin Onda,Kanon Herrero,1
32,Abila Zacharo,2014-01-08,Marin Onda,Kare Orilla,1
33,Abila Zacharo,2014-01-08,Marin Onda,Vira Frente,1
34,Abila Zacharo,2014-01-08,Vira Frente,Ingrid Barranco,1
35,Abila Zacharo,2014-01-08,Vira Frente,Kanon Herrero,1
36,Abila Zacharo,2014-01-08,Vira Frente,Kare Orilla,1
37,Abila Zacharo,2014-01-08,Vira Frente,Marin Onda,1
38,Abila Zacharo,2014-01-09,Felix Resumir,Gustav Cazar,1
39,Abila Zacharo,2014-01-09,Felix Resumir,Loreto Bodrogi,1
40,Abila Zacharo,2014-01-09,Felix Resumir,Vira Frente,1
41,Abila Zacharo,2014-01-09,Gustav Cazar,Felix Resumir,1
42,Abila Zacharo,2014-01-09,Gustav Cazar,Loreto Bodrogi,1
43,Abila Zacharo,2014-01-09,Gustav Cazar,Vira Frente,1
44,Abila Zacharo,2014-01-09,Loreto Bodrogi,Felix Resumir,1
45,Abila Zacharo,2014-01-09,Loreto Bodrogi,Gustav Cazar,1
46,Abila Zacharo,2014-01-09,Loreto Bodrogi,Vira Frente,1
47,Abila Zacharo,2014-01-09,Vira Frente,Felix Resumir,1
48,Abila Zacharo,2014-01-09,Vira Frente,Gustav Cazar,1
49,Abila Zacharo,2014-01-09,Vira Frente,Loreto Bodrogi,1
50,Abila Zacharo,2014-01-10,Ada Campo-Corrente,Felix Balas,1
51,Abila Zacharo,2014-01-10,Ada Campo-Corrente,Gustav Cazar,1
52,Abila Zacharo,2014-01-10,Ada Campo-Corrente,Isande Borrasca,1
53,Abila Zacharo,2014-01-10,Ada Campo-Corrente,Loreto Bodrogi,1
54,Abila Zacharo,2014-01-10,Ada Campo-Corrente,Marin Onda,1
55,Abila Zacharo,2014-01-10,Ada Campo-Corrente,Nils Calixto,1
56,Abila Zacharo,2014-01-10,Felix Balas,Ada Campo-Corrente,1
57,Abila Zacharo,2014-01-10,Felix Balas,Gustav Cazar,1
58,Abila Zacharo,2014-01-10,Felix Balas,Isande Borrasca,1
59,Abila Zacharo,2014-01-10,Felix Balas,Loreto Bodrogi,1
60,Abila Zacharo,2014-01-10,Felix Balas,Marin Onda,1
61,Abila Zacharo,2014-01-10,Felix Balas,Nils Calixto,1
62,Abila Zacharo,2014-01-10,Gustav Cazar,Ada Campo-Corrente,1
63,Abila Zacharo,2014-01-10,Gustav Cazar,Felix Balas,1
64,Abila Zacharo,2014-01-10,Gustav Cazar,Isande Borrasca,1
65,Abila Zacharo,2014-01-10,Gustav Cazar,Loreto Bodrogi,1
66,Abila Zacharo,2014-01-10,Gustav Cazar,Marin Onda,1
67,Abila Zacharo,2014-01-10,Gustav Cazar,Nils Calixto,1
68,Abila Zacharo,2014-01-10,Isande Borrasca,Ada Campo-Corrente,1
69,Abila Zacharo,2014-01-10,Isande Borrasca,Felix Balas,1
70,Abila Zacharo,2014-01-10,Isande Borrasca,Gustav Cazar,1
71,Abila Zacharo,2014-01-10,Isande Borrasca,Loreto Bodrogi,1
72,Abila Zacharo,2014-01-10,Isande Borrasca,Marin Onda,1
73,Abila Zacharo,2014-01-10,Isande Borrasca,Nils Calixto,1
74,Abila Zacharo,2014-01-10,Loreto Bodrogi,Ada Campo-Corrente,1
75,Abila Zacharo,2014-01-10,Loreto Bodrogi,Felix Balas,1
76,Abila Zacharo,2014-01-10,Loreto Bodrogi,Gustav Cazar,1
77,Abila Zacharo,2014-01-10,Loreto Bodrogi,Isande Borrasca,1
78,Abila Zacharo,2014-01-10,Loreto Bodrogi,Marin Onda,1
79,Abila Zacharo,2014-01-10,Loreto Bodrogi,Nils Calixto,1
80,Abila Zacharo,2014-01-10,Marin Onda,Ada Campo-Corrente,1
81,Abila Zacharo,2014-01-10,Marin Onda,Felix Balas,1
82,Abila Zacharo,2014-01-10,Marin Onda,Gustav Cazar,1
83,Abila Zacharo,2014-01-10,Marin Onda,Isande Borrasca,1
84,Abila Zacharo,2014-01-10,Marin Onda,Loreto Bodrogi,1
85,Abila Zacharo,2014-01-10,Marin Onda,Nils Calixto,1
86,Abila Zacharo,2014-01-10,Nils Calixto,Ada Campo-Corrente,1
87,Abila Zacharo,2014-01-10,Nils Calixto,Felix Balas,1
88,Abila Zacharo,2014-01-10,Nils Calixto,Gustav Cazar,1
89,Abila Zacharo,2014-01-10,Nils Calixto,Isande Borrasca,1
90,Abila Zacharo,2014-01-10,Nils Calixto,Loreto Bodrogi,1
91,Abila Zacharo,2014-01-10,Nils Calixto,Marin Onda,1
92,Abila Zacharo,2014-01-11,Edvard Vann,Felix Balas,1
